商談か？ 	 Business with the cap'n?
気をつけます… 	 It won't happen again!
これだから新兵は… 	 Bloody recruits...
まだ、まだ、まだぁっ！！ 	 Me knees...
仕上げは愛情… 	 And the special ingre- dient is...love! Gah hah hah! I always wanted to say that.
当店の屋号は、伝説の白鯨「ビスマルク」に、 ちなんで名付けられたものなんですよ。 - すべての物を呑み込む、幻獣のひとつ。 当店にいらっしゃったお客様は、「ビスマルク」の様に、 大口を開けて、すべての料理を平らげてしまうからです。 	 There's a whale of a tale behind the name of this place. Well, it's the tale of a whale, actually. - Bismarck devoured all that lay in his path, and the restaurant hopes its diners will follow suit.
い、生きててよかった… 	 After the Calamity... I... I never thought I'd... <sob>
そこにいる彼は、我が家の使用人なのですが、 このビスマルクの料理が大好物でしてな。 - この都市へ来るたびに、腹いっぱい食わせてやると、 薄給でも実によく働いてくれるのです。 まったくビスマルクさまさまですな、ハッハッハ。 	 Whenever my business brings me to Limsa Lominsa, I treat my manservant to a hearty meal here at the Bismarck. - 'Tis the least I can do to reward him for his excellent service. Gods know I pay the fellow little enough! Hah hah hah!
メニュー全部さ 	 This is where we first met...
好きなもん頼め 	 It seemed a fitting place to say our farewells.
いつ食べても、マスター・リングサスの料理は絶品だね。 完成度の高い料理を、毎回きっちりと提供する…… 基本中の基本だというのに、これができない店も多いんだ。 	 The Bismarck has never been better than it is now, under Master Lyngsath's direction. Even such dishes as folk consider simple are prepared with loving attention to detail. These days, all too few establishments strive for this level of excellence.
よせ、逮捕するぞ！ 	 You're coming with me to the brig!
ああん、やんのかコラ！ 	 I'd like to see ye try!
威張りくさんな！ 	 Cut 'im, dog! Cut 'im!
おや、もう降りたいのか？ 必要な人に話しかけたか、辺りを確認してみるんだ。 用件がすべてすんだらリフトに乗せてやろう。 - 溺れた海豚亭を出発するには、 クエスト「海都で名をなす秘訣」を受注する必要があります。 「ニニヤ」からクエストを受注しましょう！ 	 Heading down so soon? Best you sort out your affairs here before you start gallivanting about. I'll let you use the lift soon enough. - To leave the Drowning Wench, you must accept the quest “Making a Name” by speaking with Niniya.
海に生きる民は荒っぽいもんだが、 それでもリムサ・ロミンサの連中は別格だな。 さすがは「海賊の都市」といったところか。 	 Most seafarers a bloke meets are rougher'n a barnacled hull, but these Lominsan scrags are somethin' else. S'pose I should expect naught less from a city what was founded by pirates.
ここベントブランチ牧場は、 北西のクルザスに向かうファーラインと、 南のザナラーンに続くランバーラインの始点となってるの。 - このふたつの街道が結ばれる様を 「曲がった枝」になぞらえて、 「ベントブランチ」って呼ぶようになったのよ。 	 Bentbranch Meadows is connected by the Furline to Coerthas in the northwest, and by the Lumberline to Thanalan in the south. - When seen on a map, the place where the two roads meet resembles a bent branch─hence the name.
この酒場には、各地から来た冒険者が集う。 情報収集はもちろん、旅の仲間を見つけるためにも、 積極的に交流を持つといいだろう。 	 If it is rumors or like-minded fellows you seek, then you have made the right choice in coming to this tavern. It is as a lodestone for all manner of travelers and explorers.
ここ「溺れた海豚亭」は、冒険者たちの溜まり場だ。 なぜかって？　そりゃ、酒も飯も美味くて安い、 そのうえ、「冒険者ギルド」の窓口があるからな。 - 「冒険者ギルド」は、20年ほど前に、ある傭兵隊長が 仲間と共に作った共同体が基になっていると聞いた。 その隊長とやらに、乾杯だな。 	 The Drowning Wench will always be a favorite among pirates─she's cheap, she's loaded with grog, and she never says no. - It's been a favored haunt of adventurers for nigh on twenty years, ever since a retired freelance and his comrades established the Adventurers' Guild here.
冒険者ギルドは 都市民たちから寄せられる、さまざまな依頼を、 ギルドに所属する冒険者たちに斡旋している。 - 主要な都市や集落には、 大抵は冒険者ギルドの窓口が置かれているのさ。 もっとも、いい仕事にありつくには、腕が必要だがな。 	 When yer seekin' someone,♪ For a feat ye need done,♪ To the 'Venturers' Guild ye'll be callin'!♪ - No deed beyond dare!♪ So long the coin be fair,♪ To their graves be the 'venturers fallin'!♪
おや、新顔の冒険者かい？ だったら、悪いこといわないから、なにはさておき うちのマスター「バデロン」に声かけときなよ。 	 Newly come to Limsa Lominsa, adventurer? Then I suggest you speak with Baderon, the owner of the Drowning Wench. Think of him as a guide to our fair city.
うらうら、うまうまっちゃ 	 Mamool must be show- ing the sparkly first, yes?
い～ぶき、い～ぱい～よ 	 No jinglyshine, no busydeal!
交渉、成立、だ 	 You'll see no gold until we seal the pact in blood, ratman.
ギルなら惜しまん 	 But see, this slip says I will give you the jingly- shine when I get it.
遠出するんでな 	 Jus' give 'im the coin, or we'll be here all night.
いい温度だ 	 Ain't no one'll blink an eye if you go an' singe yer frillies in the forge.
15年待てますか？ 	 Let me see... There is an opening ten summers hence.
1隻注文したい 	 I need a ship! One what won't sink!
ふおおぉぉぉ！ 	 Ain't never seen a man swing a sledge?
ふうぉ！ふんがっ！ 	 This is harder than it looks.
次はどこの港へ行くんだ？ 	 Not cod again!
この先は、低地ラノシアへ続く裏門、 「テンペスト陸門」だ。 - 「ゼファー陸門」のあたりと違って、 ここらは風が渦巻くことがあるから、 「テンペスト」なんて呼ばれているわけさ。 	 The lowlands of La Noscea await you on the other side of the Tempest Gate. - If the Zephyr Gate is the sweet breath of the gods, then I suppose the Tempest Gate is the violent wind from the other end.
息子が、今どこで何をしているかわかりませんが いつ帰ってきても、すぐに食事が出せるように いつも魚を余分に買っているのです。 	 My son has flown the nest, and I know naught of what has become of him. Each day I buy more fish than I need, that I might have a meal to feed him should he wander back through our door.
うまか…った… 	 All I wanted was an eggless omelette.
規則だ 	 Admiral's decree. You've a problem, you take it up with her.
銃を解放しろ！ 	 A background check!?
お役人は帰れ～ 	 Back to the sea with ye, 'Cuda!
やっちゃえやっちゃえ！ 	 You going to let him push you around like that, love!?
リムサ・ロミンサは、潮風が気持ちいいな。 なるほど、我がウルダハとは、また違った趣がある。 おおっと、浸ってる場合じゃない。 - 第七霊災の影響がどのくらいあったのか…… 情報を集めなくてはならないが、 相変わらず野蛮な都市だ。 	 Ah, the sea breezes of Limsa Lominsa are so refreshing. Quite a dramatic difference from the sultry winds of Ul'dah. Ah, but I must remain detached. Focused. - I am here, you see, to survey the extent of the Calamity's damage, but I often find myself overwhelmed by the unfamiliar sensations of this barbaric-yet-fascinating city.
ハーブオイル塗ってあげる 	 There are oils which can help...
全身が凝ってんだよぉ 	 I'm stiff as a rock.
干し魚をあるだけ欲しい 	 Me ship needs all the salted cod ye can spare.
30樽なら 	 Thirty barrels do ye?
クロウズリフトでエーテライトへ向かう前に 酒場の奴らの話も聞いとけよ？ さっそく、うまい話を聞けるかもしれないからな。 	 Ye can get to the aetheryte by takin' the lift over to me left. Afore ye 'ead down, though, ye oughta introduce yerself to the lads an' lass 'ereabouts. Might be as they'll 'ave a juicy piece o' gossip to share with ye.
ここ「溺れた海豚亭」は、冒険者たちの溜まり場だ。 なぜかって？　そりゃ、酒も飯も美味くて安い、 そのうえ、「冒険者ギルド」の窓口があるからな。 - 「冒険者ギルド」は、20年ほど前に、ある傭兵隊長が 仲間と共に作った共同体が基になっていると聞いた。 その隊長とやらに、乾杯だな。 	 The Drowning Wench will always be a favorite among pirates─she's cheap, she's loaded with grog, and she never says no. - It's been a favored haunt of adventurers for nigh on twenty years, ever since a retired freelance and his comrades established the Adventurers' Guild here.
キャンセル待ちか… 	 What do you mean “wait”? I see three open tables!
例のブツを50袋だ 	 I need sixteen bags of the root by sunrise.
今朝釣ったサカナだよ～！ 	 Bream, cod, an' lampreys, caught fresh this morn.
どれどれ… 	 Who in their right mind'd eat a bleedin' lamprey?
活きがいいねぇ 	 I'll take three lampreys!
海で嵐にあってねぇ 	 There's more than enough opportunity for profit in Thanalan!
無事だなんてステキ 	 And I say there's gil for the takin' in Limsa.
お土産は？ 	 Well, we aren't making any coin just sitting here.
そんなことないですって 	 I don't think I can bear another night.
アタイ知らない～っと 	 Like the axe? Why not take a step closer?
こっち見んな！！ 	 We's can give ye a problem.
バッカじゃねーの 	 I smells me a man. Where've you been, lass?
痛い目見たいのかい？ 	 'Ave a problem wiv that?
寄るんじゃないよっ！ 	 Why we sittin' like this? Ye see any bleedin' chairs?
どーせアタイのせいさ… 	 I'm not giving you a choice. Get this boy another plate of oysters!
いいことしましょ～？ 	 Thought ye'd 'ave yer way with a pair of blushin' maids, did ye?
うふふふ 	 Now empty your purse afore we slice yer wick and toss it brine-wise.
でへへへ 	 What did I do to deserve this!?
この空を君に贈るよ 	 My loins throb like Dalamud! My heart burns like Megaflare!
バカ…ポッ 	 You have such a way with words!
覚悟しなっ！ 	 The Sirens don't 'ave time for men, unless they's warmin' our beds.
毎日ドレスを着せてやる 	 Don't tell me you've not heard of Thal Icebound!
へぇ、それで…？ 	 You wish me to sing a song of your deeds?
海に生きる民は荒っぽいもんだが、 それでもリムサ・ロミンサの連中は別格だな。 さすがは「海賊の都市」といったところか。 	 Most seafarers a bloke meets are rougher'n a barnacled hull, but these Lominsan scrags are somethin' else. S'pose I should expect naught less from a city what was founded by pirates.
この酒場には、各地から来た冒険者が集う。 情報収集はもちろん、旅の仲間を見つけるためにも、 積極的に交流を持つといいだろう。 	 If it is rumors or like-minded fellows you seek, then you have made the right choice in coming to this tavern. It is as a lodestone for all manner of travelers and explorers.
ようこそ、リムサ・ロミンサへ！ ここ総合タワー「ミズンマスト」は、 リムサ・ロミンサの中枢なんです。 - 「冒険者ギルド」に、飛空艇の発着所、 さらに、さらに政庁「アドミラルブリッジ」まで 重要な施設が、ぎ～っしり詰まってますから！ 	 Welcome to the heart of Limsa Lominsa─the Mizzenmast! - It houses the airship landing, the Adventurers' Guild, and─at the very top─the command room of the Admiral, from where she keeps a watchful eye over Lominsan air, land, and sea.
ようこそ、リムサ・ロミンサへ！ 「ミズンマスト」を上り下りするには、 あちらの「クロウズリフト」をお使いくださいね。 - 変な名前のリフトだと思いますか、思いますよね？ この名は、なんとマストのてっぺんにある見張り台 「クロウズネスト」に、ちなんでいるのです！ 	 The Crow's Lift will carry you up and down the tower as fast as the crow flies. - You need only speak with Grehfarr and tell him where you wish to go!
「アドミラルリフト」に、何か用かな？ ここはリムサ・ロミンサの政庁である 「アドミラルブリッジ」に続く、直通リフトだ。 - ゆえに許可なき者を通すわけにはいかん。 酒場「溺れた海豚亭」に行きたいなら、 向こうのリフトを使うんだな。 	 What business have you with the Admiral's Lift? Tea and crumpets on the Bridge, is it? In possession of a permission paper signed by the relevant authorities, are you? - The Admiral's official quarters are no place for sightseeing. If you seek the Drowning Wench, try the Crow's Lift over yonder.
冒険後の一時を、溺れた海豚亭で過ごしませんか？ お仲間との集合場所としても、ぜひご利用ください。 	 Welcome to the Drowning Wench, a place to leave your cares and troubles behind. - I'll say that again: your cares and your troubles. You'll be taking the contents of your innards with you, or you'll not find the Wench so welcoming on your next visit.
さあ、寄ってらっしゃい見てらっしゃい！ コンチネンタル・サーカスによる、 楽しい「守護天節」の催しだヨォ！ 	 From spooks and shadows do not shy～♪ Come one, come all, for All Saints' Wake is nigh!♪
「守護天節」は聖人たちの善行を称える日。 伝承によると、彼らはこの時期に天の宮殿に招かれ 夜ごと宴に興じるのだとか……。 - 宴の間は聖人の加護が弱まると思ったヒトビトは、 魔物を避けるため、日暮れ前に帰宅するようになりました。 今ではすっかり廃れた風習ですがね……。 	 The festival known as All Saints' Wake dates back to ancient times. Once a year─as legend has it─the Twelve would show Their favor to the saints by inviting them to a magnificent feast in the celestial realm. - Fearing for their safety in the absence of their guardians, the commonfolk took to adopting the guises of evil spooks and spirits, that they might frighten the terrors of the night away. - Alas, the tradition has fallen out of favor in the years since the Calamity, much to the dismay of professional merrymakers such as myself.
エリクサ…………じゃなかった。 キャンディちょうだい！ 	 I've had a bellyful of elixirs. Gimme something sweet to eat!
そういえば、アフトカースルにいる旅芸人の一座が カボチャお化けの衣装を販売してるみたいよ。 うーん、仮装に余念がないねぇ……。 	 A traveling circus troupe has set up shop in the Aftcastle, peddling seasonal trifles. All Saints' Wake is a fine tradition, but is this truly the time for idle revelry?
守護天節の催しで活気付くのはいいが、 亡者の衣装は顔が隠れるからな……。 警備する身としては、いつも以上に気が抜けないよ。 	 I enjoy mirth and merriment as much as anyone, mind you, but these monstrous guises are a most unneeded distraction for those in my profession.
はぁ～い、こぉんにちは～～♪ 愛の伝道師、リゼットちゃんこと、 リゼット・ド・ヴァレンティオンでぇ～っす☆ - ヴァレンティオンデー、楽しんでますか～？ 愛のチカラで、世界をシアワセにしちゃおうねっ！ 	 I, Lisette de Valentione, have traveled to this realm to spread the joy of true love to one and all. - For a land bereft of love is colder than the frozen plains of Coerthas. Tell me, friend...who shall warm your heart this night?
さぁさ、お立ち会い！ 「愛の伝道師」による、 ヴァレンティオンデーの始まりだよー！ - 嬢ちゃん、チョコはたんまり貰えましたか？ 余ったチョコは、我らヴァレンティオン家の執事に渡せば、 ステキな記念品と交換できますよ！ 	 Hail, adventurer! What say you set aside your mundane questings for the day and serve House Valentione in a far nobler crusade─the quest to spread ardor and affection across a lovelorn realm? - Or perhaps you have already earned sweet tokens of affection from an admirer or two? Deliver it to a House Valentione butler or maid, and you shall be rewarded in kind.
フォーッフォフォ！ 女の子のお祭り「プリンセスデー」を 堪能されていますかな！？ - 今回も、多数の美しい淑女から選ばれた 「街角の姫君］が、各都市の街頭に立ち お祭に彩りをそえてくれていますよ。 - あなたも、姫君との謁見を果たし、 この時期でしか手に入らない、 逸品、珍品の数々を手に入れてください。 	 Good day to you, friend. I trust the Little Ladies' Day festivities prove to your liking? - We have spared no expense for this year's celebration, that the maidens of Eorzea may experience the pampered life of a princess for the day. - I suspect you too wish to lavish gifts upon some fair lady, yes? Then I suggest you seek an audience with the Little Lady who stands before you here. Her wares are as sure to win your heart as her winsome smile.
俺は創作料理を追い求める「味の探求者」だ。 ここリムサ・ロミンサで、豊富な魚介類を活かした 新しい料理を考えてるところさ。 	 Limsa Lominsa is paradise for a culinarian, for by the grace o' the pullers, we've the bounty of the sea close at hand. Ahhh, if only there were more bells in a day─I'd buy the whole guild's catch an' cook to my heart's content!
エグ、エグ、エグル、エッグルルルゥ～ッ♪ みんなで、いっしょに集めましょう！ 飾りタマゴを集めましょう！ - エッグハントは、皆で楽しむお祭りだよ！ 知ってるあの子や、知らないこの子と 手を取り合って盛り上げてね！ 	 Hello there, friend. You look like you could use a distraction; something to take your mind off the perils of day-to-day adventuring. - Perhaps you would be interested in trying your hand at this year's Hatching-tide egg hunt? The rewards are quite splendid, and in abundance.
ここリムサ・ロミンサで「紅蓮祭」を開催してるの。 冒険者ギルドでやってるお祭りよ！ 今、協力してくれる冒険者を探してるの。 	 The Moonfire Faire's in full swing in Limsa Lominsa, and we're recruiting adventurers to help out with this year's festivities. Do tell all your friends!
ワタシハ、星芒祭交換管理用ノまめっとデス☆ 「星芒祭」ノ詳細ニツイテハ、 各冒険者居住区ノ担当者ニオ尋ネクダサイ。 	 ExChAnGe YoUr ☆FaLlEn StArS☆ hErE. SpEaK wItH tHe ☆StArLiGhT cElEbRaTiOn CrIeR☆ iF yOu ReQuIrE aDdItIoNaL fEsTiVaL iNfOrMaTiOn.
ワタシハ、星芒祭交換管理用ノまめっとデス☆ 「星芒祭」ノ詳細ニツイテハ、 各冒険者居住区ノ担当者ニオ尋ネクダサイ。 	 ExChAnGe YoUr ☆FaLlEn StArS☆ hErE. SpEaK wItH tHe ☆StArLiGhT cElEbRaTiOn CrIeR☆ iF yOu ReQuIrE aDdItIoNaL fEsTiVaL iNfOrMaTiOn.
体がなまっちまうぜ… 	 Sway like a cobra, strike like a viper...
どう、キマってるでしょ？ 	 I must always look my best!
それにしてもいい鎧ね♪ 	 I need some matching earrings...
早く試したいぜ！ 	 I feel extra fierce in this mask!
ひどい目にあった… 	 Hells, that thing was fast...
ダサい目にあったわ… 	 I hope nobody saw us...
…死ぬかと思った 	 I thought we were done for...
俺は「星芒祭」の実行委員を任されている、 ベーンフェールドっていう者だ。 ちょっと問題がおきてバタついていてな、話なら後にしてくれ。 	 Me? I'm Baenfaeld, the celebrant for this year's Starlight Celebration. I'm a bit bleedin' busy with festival business right now though, so if ye don't mind...
君には、いろいろとお世話になりました。 おかげで素敵な「星芒祭」をおくれそうです！ 	 I don't know what we would've done without you. The celebration's a huge success─and for all the right reasons!
お前さんには、本当に世話になった。 俺たちも、大切なことを思い出すことができたよ。 まったく、感謝してもしきれない。 - さてと、もっと子どもたちを呼んでこないとな。 お前さんががんばって用意してくれたこの鐘と曲で、 エオルゼア中を笑顔にしてみせるさ！ 	 I have to thank ye again for all ye've done, . Ye've helped steer us back to the road we ought to have been walkin' in the first place. - Now, if ye don't mind, I've more younglin's to delight with that enchantin' melody. Mark me words, I'll have the whole bloody realm smilin' afore this festival's done!
僕の人生における最高の時間が、先ほど更新されたよ。 リゼットさんとエターナルバンドを結べるなんて、 これほど幸せなことはない！ - 君のようなイイ冒険者に出会えて僕は幸運だった。 ありがとう、本当にありがとう！ ……イシュガルドに帰ったら、あの方にも報告しなくては。 	 I did not know true happiness until now! To think, Lady Lisette shall be my wife! - Are you an adventurer, or an angel? Ah, it does not matter! You have my undying gratitude! Our friends in Ishgard shall be ecstatic to hear the news!
現在、女の子のお祭り「プリンセスデー」の真っ最中！ 淑女の方も紳士の方も、祝祭をお楽しみください！ - さらに「ウルダハ」では、この祝祭の目玉企画として、 3人の歌姫……「三歌姫」による催し物を行っています。 ぜひ、訪ねてみてくださいね！ 	 Ladies and gentlemen, young and old! Manifold are the delights of this magical season, and this year we have had the good fortune to be blessed with more than most! - We have some very special guests who will be lighting up the stages for this Little Ladies' Day, so be sure not to miss out on the highlight of the year─the Songbirds! 
私は、冒険をはじめたばかりの者を援助しているんだ。 いま君の為すべきことは、この街に慣れることかな。 冒険者ギルドの顔役であるバデロンから、話を聞くといい。 	 As one of the Smiths, I provide guidance for those just starting out on the path of the adventurer. For the present, I suggest you learn your way around the city─an endeavor with which Baderon shall no doubt wish to aid you.
星芒祭開催中です 協力をお願いしますね 	 'Tis Starlight season! Care to help us spread happiness and joy?
…………。 - つぶらな瞳でこちらを見つめている。 どことなく嬉しそうだ。 	 ... - Jiromaru stares at you with round beady eyes. While it's close to impossible to read his expression, you get the sense that he is enjoying the festivities as much as everyone else.
星芒祭開催中です 協力をお願いしますね 	 'Tis Starlight season! Care to help us spread happiness and joy?
今回も「三歌姫」が公演を行う予定です。 新衣装お披露公演となっておりますので、 みなさま、ぜひウルダハまでお越しくださいね！ 	 The Songbirds will be taking to the stages momentarily in their new costumes! It's a performance you'll not want to miss!
おうおう、楽しんでるか！？ おかげさまで、俺たちの催しは大好評でぃ！ - タロの演舞がいいのはもちろんだが、 なにより「降神餅」が美味いからにちがいねぇ！ 皆の喜ぶ顔を見ると、「餅つき」にさらに気合が入るぜ！！ 	 Ah, if it isn't our heroic adventurer. I pray you are enjoying the Heavensturn celebration, my friend. After all, you helped us save it. - The revelry is at fever pitch in no small part due to Taro's charms...but in most part due to my sublime mochi, of course. There's no greater satisfaction than to behold the smiles upon people's faces as they devour the advent cakes!
きゃん、きゃん！！ 	 Arf, arf!
暑いですか～、暑いですよね～？ なんせ「紅蓮祭」のシーズンが到来してるから！ 今回はコスタ・デル・ソルの「真夏の島」で開催中だよ！ 	 I hope you like it hot, because the Moonfire Faire is here! This year the festivities are being held on the Isle of Endless Summer. Enjoy the heat while you can!
ウルダハのルビーロード国際市場で、「新生祭」限定の、 花火や家具、オーケストリオン譜が売っているらしいよ。 興味がなくても、一度くらいは冷やかしに行ってみたらどうだい？ 	 Have you heard? They're selling all manner of commemorative goods in Ul'dah to celebrate the Rising. Fireworks, furniture, orchestrion rolls, you name it. If I were you, I'd go and have a look before their stocks are gone.
今回も「三歌姫」が公演を行う予定です。 観客参加型の公演となっておりますので、 みなさま、ぜひウルダハまでお越しくださいね！ 	 Ladies and gentlemen, young and old! Once more the Songbirds will grace the stages of Ul'dah in celebration of Little Ladies' Day. - Indeed, it shall be a performance for the ages, one wherein you will have the opportunity to take part. If you would join in the revelry, pray make for Ul'dah with all haste.
暑いですか～、暑いですよね～？ なんせ「紅蓮祭」のシーズンが到来してるから！ 今回もコスタ・デル・ソルで開催中だよ！ 	 Greetings! If you love the Moonfire Faire as much as I do, you should go and see the main attraction in Costa del Sol!
ウルダハで、恐ろしい噂が広まってるみたいなの。 恐れ知らずの勇敢な冒険者なら、 行ってみるといいわ。 	 I was hoping to attend the festival at the Gold Saucer. That is, until I heard the rumors. Anyone who steps foot in there is either brave, or an incredible fool.
そこのあんた、知ってるか？ 現在、ゴールドソーサーでは期間限定で、 MGP1.5倍キャンペーンを実施しているんだぜ！ 	 Do you love MGP? Then you best get yourself over to the Gold Saucer and make the most of the fifty percent bonus rewards on offer during this season's limited-time event! Did I mention it's only for a limited time!?
暑いですか～、暑いですよね～？ なんせ「紅蓮祭」のシーズンが到来してるから！ 開催場所は、コスタ・デル・ソルの「常夏の島」だよ！ 	 Are you the type who likes it hot? I hope so, because the Moonfire Faire has returned! The main festivities are being held on the Isle of Endless Summer in Costa del Sol. Enjoy the heat while you can!
ブモー！ 	 Bwoo!
暑いですか～、暑いですよね～？ なんせ「紅蓮祭」のシーズンが到来してるから！ ぜひとも、開催地のコスタ・デル・ソルへ向かっておくれ！ 	 You strike me as the type who likes it hot. Well, you're in luck, because the Moonfire Faire has returned! If you're interested, the main attraction is on the Isle of Endless Summer in Costa del Sol. Go and enjoy the heat while you can!
そこのあんた、知ってるか？ 現在、ゴールドソーサーでは期間限定で、 MGP1.5倍キャンペーンを実施しているんだぜ！ 	 Do you love MGP? Then you best get yourself over to the Gold Saucer and make the most of the fifty percent bonus rewards on offer during this season's limited-time event! Did I mention it's only for a limited time!?
暑いですか～、暑いですよね～？ なんせ「紅蓮祭」のシーズンが到来してるから！ 開催地は、コスタ・デル・ソルだよ！ 	 Sweating buckets during this scorchingly hot summer? Why, there's no better way to beat the heat than by celebrating the Moonfire Faire! - The festivities are in full swing near the Isle of Endless Summer in Costa del Sol. Why not pay a visit?
そこのあんた、知ってるか？ 現在、ゴールドソーサーでは期間限定で、 MGP1.5倍キャンペーンを実施しているんだぜ！ 	 Do you love MGP? Then you best get yourself over to the Gold Saucer and make the most of the fifty percent bonus rewards on offer during this season's limited-time event! Did I mention it's only for a limited time!?
おお、殿ではありませんかッ！ さきほど、久方ぶりに黒渦団時代の仲間と会ってきましてね、 元気な顔を見られて安心しました！ - ル・アシャ大甲佐には、黒渦団へ戻らないのかと問われましたが、 あの赤い軍服を脱いだことに、後悔はありませんのでッ！ - 懐かしい酒の味を満喫しながら、旅の計画を練るとします！ 	 Well, if it isn't Mistress ! I just reunited with some of my former Maelstrom comrades. 'Twas quite a relief to see them in such good health! - Commander Rhiki even asked if I would like to rejoin their ranks. While I was flattered by the offer, I told her I did not regret shedding the red! - Instead, I'll reminisce over the old days with a pint or two, and then sober up so I can help Bluomwyda plot out a course for our next voyage!
誰かと思えば、ここで会うとは奇遇なことだ。 こっちは今、次の目的地について調べているところでね。 遠出になるけど、北洋のエルスレント島へ行くつもりなんだ。 - あそこはルガディン族の根拠地だし、私らで探ろうと思ってね。 近頃、どんな状況になってるのか、情報が乏しいからさ。 面白い話があれば、連絡するよ。 	 Ah, , what a pleasant surprise! Aergmhus and I─emphasis on I─are in the midst of mapping out a way to reach our next destination: the isle of Aerslaent in the Northern Empty. - Aerslaent is the ancestral homeland of we Roegadyn, and we would see it with our own two eyes. Unfortunately, information regarding the current state of the isle has been scarce in recent days. If we learn aught of note, you'll be the first to know.
ひゃっはー、マジでイカす鎧で気に入ったぜ！ 東方の珍しい作りだからかな、 甲冑師ギルドの奴らに羨ましがられたくらいだ。 - 「災い転じて福となす」って、ひんがしの言葉にあると聞いたが、 まさにそんなところだよな！ 	 This is by far the nicest set of armor I've ever owned. It is a work of remarkable craftsmanship, forged using techniques known only to master artisans of the Far East. The folks at the Armorers' Guild nearly turned green with envy when I showed it to them. - The omikujishi's words from earlier still ring in my head─of turning a curse into a blessing. Misfortune into fortune. It was a valuable lesson I shall not soon forget.
ボドゥフォアンの鎧、よく似合っていますよね！ 頼もしい仲間がいることが、私も誇らしいです。 	 Beaudefoin's new set of armor suits him rather well, don't you think? He's certainly earned it─I couldn't ask for a finer comrade to have by my side.
何が書いてあったっけ？ 	 Er, what did it say again?
さん、こんなところで！ 先ほど餅代官という人から、「お餅」をもらったんです。 もちもち不思議な食感……これはプディングとも合う気がします！ 	 Well, well, well, if it isn't ! Just moments ago, a man calling himself the mochi daikan handed me a curious cake made from rice. It had an oddly soft and chewy texture. You know, I think it would go quite well with pudding!
熱気あふれる「紅蓮祭」が開催中だよ！ 帰ってきた「アイツ」に挑戦したければ、 コスタ・デル・ソルに集合だ～！ 	 Hello, hello! The Moonfire Faire is here, and with a spicy returning attraction to bear! Should you wish to ignite the fire in your soul, pray make your way to Costa del Sol!
おみくじも盛況で、祭りって感じがすんなぁ！ 東方の文化を楽しんでもらえて、嬉しい限りよ。 	 I am thrilled to see one and all enjoying the omikuji so. Though our cultures be different, it is wonderful that we can still come together in celebration like this year after year.
