シュー… アナンタ族として謝罪を… 	 They disssgrace all Ananta...
デルタIVの消滅を確認…… 被検世界「デルタ」は完全敗北しました。 これより、当世界のシャットダウンを開始します。 	 Delta IV eliminated. No more Deltascape subjects remain. Initiating world shutdown.
わざと霊災を起こそうなんて、どうかしてるわ！ ヴァリス帝の野望は、絶対に阻止しないと……！ 	 His grand plan is to bring about more calamities!? This is insanity! This madman must be stopped at all costs!
帝国とは戦うべくして、戦うことになった。 しかし、相手の戦力は強大、この上なく厳しい戦となるだろう……。 	 The Empire exists to wage war, and war it shall have. But its vast armies pour in like the tides themselves─this could very well be the greatest military threat Eorzea has ever faced...
帝国でのアシエンの暗躍を疑っていたが、 やれやれ、予想を遥かに上回る規模での陰謀であったな。 とはいえ敵の正体が知れたいまとなっては、ただ戦うのみよ！ 	 We suspected Ascians meddled in the shadows of the Empire, but the truth is far beyond my wildest imagining. At least now we know the face of our enemy, and need not hesitate to strike at its heart!
開戦に間に合ってよかった。 つい先ほど、東方連合の先遣隊を率いて到着したところだ。 数こそ少ないが、選りすぐりの精鋭部隊となっている。 	 I am glad we arrived in time to aid in the battle. Though our vanguard may be small, these few are our chosen elite─the finest warriors of the Far East.
ヴァリス帝の真意を知ったいま、 停戦なんぞ、もっての外となってしまったな。 こんなとき、戦えぬ己の非力を口惜しく思う……。 	 Now that we have learned the Emperor's true purpose, war has become an inevitability. 'Tis times like these I curse my own uselessness in battle...
不滅隊局長としての初陣が、帝国との全面戦争になるとはな。 いささか緊張してはいるが、義父上に恥じぬよう、 全身全霊で戦うつもりだ！ 	 My first engagement as Flame General, and it is full-scale war with the Empire... I feel some measure of nervousness, of course, but I swear I will make Father proud in the battles to come!
目的のために国まで興すアシエンとは、なんと恐ろしき存在か……。 我が国と同様に、帝国の歴史もまた大きく歪められているようだ。 	 The Ascians are terrible beings indeed that they would found an entire nation to further their dark designs. 'Twould seem that the Empire's history is as sinister as Ishgard's own.
神殿騎士団も総力をあげて参戦する。 エオルゼアの未来は、すなわちイシュガルドの未来！ この度も、絶対に負けられない戦いだ……！ 	 The Temple Knights have deployed in full strength. Eorzea's future is Ishgard's future, and our fates ride upon the outcome of this conflict.
まさか帝国が、アシエンによって興されていたとは……。 いまだ、動揺が収まらぬが、これで倒すべき敵はひとつとなった。 エオルゼア同盟軍の底力を、いまこそ見せてやろう！ 	 It makes a twisted kind of sense that the Empire was built by the chaos bringers themselves. The revelation yet rattles me, but now that we know our enemies are one and the same, we have a target upon which to unleash the full force of the Alliance!
今度も前線に出させてもらうぞ。 黒渦団の大砲に、俺の鉄斧を加えて、 帝国兵どもにたっぷり味わってもらうとしよう！ 	 Send me to the front lines, if you please. We'll give the imperials a taste of the Maelstrom's cannons─not to mention my axe!
皇帝の言葉には、決して同意できません。 人に犠牲を強いる理想に、何の大義がありましょう？ 	 I refuse the Emperor's words with all of my being. What justice is there in an ideal that demands the sacrifice of so many?
私は帝国の出身です。 ですが、今の私にとって忠誠の対象は皇帝ではなく、 カヌ・エ様、ただおひとりにあるのです。 	 I was born in the Empire, but I will never serve the Emperor. Only the Seedseer commands my loyalty.
我らで国境を死守しよう！ 	 We must protect the border at all costs.
それなら我が部隊を… 	 Then we must call for reinforcements.
本陣の魔法障壁は強固だが… 	 We have no reason to believe the barrier will not hold.
強襲に備えねば… 	 Yet if they should bring all to bear against us...
ここにも戦力が必要だ… 	 I fear we lack the numbers to hold out...
帝国軍を蹴散らします！ 	 Till our dyin' breaths.
ロータノ海は澄んでいて… 	 There's nothin' more beautiful than a sunset on the Rhotano.
魔導兵器に負けるものか… 	 I pray this will be enough.
いつか行ってみたいな… 	 I pray I live to see it...
痛ぇ、痛ぇよぉ… 	 Argh...
忍びに哨戒させよう 	 We should send out a reconnaissance team.
全力を尽くすわ 	 I will do whatever it takes to save my patients. Whatever it takes!
前線は…地獄だった 	 I can't feel my legs...
警戒は怠らないさ 	 I can't bear all this waiting around...
これより先は、危険に満ち溢れる地…… どうだ、「探検家」心がくすぐられるだろう？ 	 Have care, my friend. The area beyond is fraught with danger. ...Well? I'd wager that served to awaken the explorer within you.
さっきから眺めてるんだが、いまいちルールがわからんな。 俺は、「トリプルトライアド」の方が好きだね……。 おとなしく、勝敗の予想でもして楽しむか。 	 I've been watching these two play for a while now, but the rules don't make much sense to me. Much more of a Triple Triad man myself. Do you fancy a match?
実は私、以前は歴史家として各地を転々としていたのです。 この時代の動乱を書き残そうと、空いている時間を見つけては、 こうして筆を執っているのですよ。 	 It is all too easy to lose sight of our place within the grand scheme of things. That is why I traveled the world, pen in hand, and endeavored to record the events I saw. Even now, my habits remain─whenever I find a few moments to myself, I write.
この先は星導山寺院だ。 中は、モンク僧たちが修行に用いた仕掛けや障害だらけ……。 誤って入ってしまう者がいないよう、見張っているのだ。 	 The path ahead leads to the Temple of the Fist, and it is my duty to ensure that only those of sound body and mind are permitted to pass.
ギラバニアで調達しやすい材料で、 錬金薬を作ろうとしているのですが、なかなか手こずっています。 一朝一夕にはいかないものですね。 	 We have been trying to concoct a potion using only materials easily found in Gyr Abania, but it is proving to be anything but a simple task.
この道は、ギラバニア山岳地帯に繋がっている。 出発するなら、ゆめゆめ準備を怠らないことだな。 	 If you're looking for the tunnel to the Peaks, it's right this way.
気を付けな。 ここのチョコボたちは、戦闘術を身に付けているから、 不用意に近づくと、怪我をしかねないぞ。 	 Do watch yourself around these chocobos. They're trained for combat so they're a bit more aggressive than your average bird.
適切な治療を施すために、 どこがどう痛むかなど、詳細を伺っているのです。 	 I fear there may not be much I can do for this man...
この奥は野戦病院だ。 治療を待つ者や、療養中の者も数多くいる。 くれぐれも、騒がしくしないでくれよ。 	 This is the Barber. You'll find countless injured fighters here either undergoing treatment or awaiting it. Tread softly should you go inside.
内臓は無事だ！ しっかりしろ！ 	 We'll need to make an incision here...and here.
痛み止め、まだ作れるかな… 	 I've thinned this tonic so many times, an ale would work better to numb the patients' aches.
寝ちまったか… 	 Here's to hopin' he's in a better place...
何だか、すごいトコに来た気がするっすね……。 あたしはウルダハ生まれっすけど、母がアラミゴ生まれなんで、 半分、故郷みたいなもんっすね！ 	 Though I was born in Ul'dah, my mother's actually from Ala Mhigo, so you could say this is my half-homeland, which makes this my half-homecoming, but I find myself wholly touched to be in this awe-inspiring place!
ウルダハから注文が殺到して、大忙しっす！ でも、師範が作ってくれたこの眼鏡のおかげで、 仕事はモリモリはかどってるっすよ！ 	 Orders have been flooding in from Ul'dah and it's all we can do to keep pace, but thanks to the fine spectacles you crafted for me, I can tackle all that work with clarity and confidence!
気を抜いたが最後 帰ってこれないと思え！ 	 The moment you let your guard down is the moment you die. Do I make myself clear!?
でいやぁーっ！！ 	 This statue's as hard as a rock!
て、帝国兵を… 先に…！ 	 The imperials are everywhere...
グッ… ここまで…なのか… 	 It can't end here...
お、俺は大丈夫… 奥にいる仲間を…！ 	 I'm fine! See to the others!
救援なのか…！？ 	 Reinforcements?
クエッ……？ 	 Kweh?
しばらく、アラミゴ側と暁の連絡役を務めることになってね。 蛮神がらみの監視にも、手を貸すつもりさ。 	 It seems I'll be serving as the contact between Ala Mhigo and the Scions for the time being. Naturally, my duties will also include spying on beastman strongholds.
ようやく掴んだ自由だからこそ、 易々と手放すわけにはゆかぬというもの……。 陰ながら故郷と一族を護る手助けをさせていただきやしょう。 	 Now that freedom is won, we'd be fools to let it slip through our fingers. Though mayhap not on the front lines, I will lend what support I can to our Ala Mhigan brothers and sisters.
クエッ、クエッ……！ 	 Kweh, kweh!
「次元の狭間」の調査も完了したんで、 残った社員で、残務処理に大忙しです。 大穴の見張りをしていたほうが、ずっと楽でしたよ……。 	 Now that the whole episode with the interdimensional rift has come to an end, life has returned to a state of relative normality. Perhaps I should take up a hobby to occupy my spare time...
私たちは、またこの場所から歩いて行く。 ラールガー星導教復興への道を。 - きっと、アドリも見守ってくれているはずです。 だって彼は……私の兄弟子ですから。 	 From here, our journey continues. The journey to revive the Fist of Rhalgr. - Pray watch over us, Adri...
いっちょ、アラミゴ解放軍の連中を鍛えてやるとするか！ 	 Right, let's go and pound those soldiers into shape!
ゼンツァが無茶しないように、見張っておかないと……。 	 I must keep an eye on Zentsa lest she...enjoy teaching a little too much.
基地の外に出るときは気をつけてください。 ララフェルを丸呑みできそうなぐらい、 大きな獣がうろついていますから……。 	 I'd be careful out there if I were you. A woman your size─the beasts out there would swallow you whole. And you wouldn't be the first, either.
ここには、鹵獲した帝国軍の魔導兵器が格納されています。 まだ分析が終わっておらず、暴走でもしたら危険です。 無闇に近づくことは、おすすめしません。 	 We recently seized a suit of magitek armor from Baelsar's Wall. Until we've completed its examination, civilians are not permitted inside─not even adventurers.
我々は、帝国軍とは違い、侵略者ではありませんから、 できるだけ、森や川などの自然を汚さないように気をつけています。 それが、私なりの「エオルゼアを守る」ということです。 	 It will not be easy, but we must do all we can to reverse the damage done to the land here.
丸太のような太ももに！ 丸太のような太ももに！ 	 I won't break first... I won't break first...
お前、気合い入ってるなー 	 What kind of name is that anyway? Eastern highland?
ひとりきりの見張りも、嫌いじゃない。 見たくもないものを、見なくていいからね。 なにごとも、距離が近すぎないほうがいいのさ。 	 It's actually quite nice having this post to myself. A great view, and no one to spoil it.
私たち3人は、狩りの時は常に行動を共にする。 母は違えど、同じ父を持つ家族だからな。 お互いの気持ちが手に取るようにわかるんだ。 	 The three of us have hunted together for as long as I can remember. When tracking our prey, it's as if we're of one mind.
今日の狩りも 上手くいったね～ 	 Make a fine rug, that one.
うーん うまく射られないよ～ 	 What are we supposed to be aiming at again?
この子たちはね、今度、初めての狩りを経験するんだ。 だから、しっかりと弓の稽古をつけてあげないとね！ 	 These two will make fine hunters someday. But first, they'll need to improve their marksmanship.
シュー……美神を母に持つ我々は、 常に美しくあることが求められている。 くれぐれも、我らの寝所を埃で汚さぬようにな。 	 We make great effortsss to preserve not only our own beauty, but that of our home. That is why we asssk those who visit Vira Nilya take care not to make a messs.
シュー……「脱皮せぬ者」たちの中には、 我らが脱ぎ捨てた皮を欲しがる好事家がいると聞く。 それは誠か……誠なのかっ！？ 	 I've been told there are fanaticsss among your kind who covet our ssskin. Is that true? I underssstand they may envy our beauty, but that is sssimply revolting.
シュー……我々は、母であるラクシュミ様より、 女のみで子を宿す力を与えられて生まれてきた。 男がおらねば、子も成せんとは……ヒトとは不便よな。 	 Is it not inconvenient to require a male to reproduce? What exactly do they... On sssecond thought, perhapsss I shouldn't ask.
シュー……我らの指導者、姉妹サリーシャは慈悲深い御方だ。 未だに、カリヤナ派の下へ使者を送り、 奴らのことを理解しようと努めているのだから……。 	 Our leader Sarisha has ever been one to sssee the good in others. Even now she sssends envoys to the Qalyana in the hopes of underssstanding their people.
シュー……ヒトは火を用いねば、金属を錬れぬと聞く。 なぜそんな、回りくどいことをするのだ？ 魔力を使えば、容易に錬れるというのに……。 	 I'll never underssstand why your kind needs fire to work metal when any number of magicksss can do so just as easily, if not more so.
シュー… ネズミ一匹見落とさぬぞ… 	 Not a single rat in, not a single rat out.
ハァ……ハァ……この辺りには、地中に潜る魔物がいましてね。 奴らは、暗い土の中で、獲物が通りがかるのを待っているんですよ。 だから……こうして……俊敏性を……鍛えているのですッ！ 	 <pant> There're beasties about what burrow underground an' lie in wait for prey. <pant> Gotta keep nimble, like, so as to not get caught by one. <grunt>
憎悪に身を任せて戦ったところで、 また新たな憎悪が心に芽生える……ずっと、この繰り返しです。 でも、すべてを忘れることは、考えるよりも難しい……。 	 Hatred leads to war, war incites revenge, and revenge breeds hatred. It is a vicious cycle I pray we someday break. But it is hard in the face of the ruin brought upon us by the Garleans.
シュー……カリヤナ派め、まったく忌々しい連中だ！ 一族の誇りを守るため、剣を振るうのが我々の使命！ だというのに、自らの集落に引き籠もって震えているだけとは！ 	 The Qalyana are sssuch cowards. Our sisters continue to be ssslain and yet they refuse to draw their bladesss. The world crumblesss around them, and all they care for is their gemcraft.
オラのかわいい大砲ちゃ～ん 	 Treat a cannon like you'd treat a woman and if you're lucky, she won't blow your face off. The cannon, that is.
メ・ラツは、女たちを等しく愛してくれる。 だから女たちもまた、彼の愛に応えるのさ。 	 We're all equal in the eyes of M'rahz Nunh. His fair-mindedness is part of what makes him so well loved among our people.
この方角の先には、カリヤナ派のアナンタ族の集落があるんだ。 ウィルラ派のようにアラミゴ解放軍に参加したりせず、 帝国に対しても弱腰で、受け身な連中さ。 	 That settlement down there in the distance is the Qalyana tribe of the Ananta. For one reason or another they've chosen to keep out of the fighting. Even when their fellow Ananta from the other tribes come under attack they do nothing. Strange, isn't it?
見張りも楽じゃないね… 	 There! No... Just a rabbit... There! Over there! No... Just a badger...
シュー…調子が悪いな どこか壊れたか？ 	 Curssses! Sssomeone's been using my bow!
シュー…踏み込みが甘い！ 	 Your tailwork is pathetic!
シュー…たまにはこうして 足を休めなければな 	 If you people knew how hard it was to balance on these tails all day...
こいつら、何者だ… 	 Ugh... Wh-Who are these bastards?
私たちの技が… 効かない…？ 	  <pant> We...we had no answer to them...
ウルダハの格闘士って 強いのか？ 	 How tough are these pugilists, you reckon?
力が欲しい……アラミゴに迫る巨悪を打ち破り、 意中のあの子から、ちやほやされる力が……欲しい！！ 	 "She who fights with strength of stone unyielding, breathes deep of boundless sky and embraces serenity of rolling sea, against her none can stand.“ - ...I haven't the foggiest what in the hells it means, but you've got to admit that it sounds like something a clever man would say.
ひ、ひぃ！ 命だけは… 	 Not like this...
や、やめてくれッ！ 	 Mercy!
この試合で モンクの実力がわかる… 	 I'm keener to see how tough the monks are.
おいおい モンクがやられてるぞ 	 Oh, shite, the monks ain't doing too good.
なにが新しい星導教だ 大したことないじゃないか 	 So much for the new Fist. 'Twas nothing but talk.
剣の手入れは万全だ！ 	 Aye, that'll cut 'em to the bone...
負けてられないッ！ 	 ...And flex and shake and bounce and...
緊張が… 	 Bloody nerves...
よくやったな！ 大手柄じゃないか！ 	 Seven hells! I daresay you single-handedly won us this bridge!
クエ！ 	 Kweh!
シュー…我らは いつでも出動できるぞ 	 We are eager to prove ourssselves.
次はどの依頼を受けようか？ 	 Perhaps we should ask for something less dangerous this time?
言い値で構わん！ アンタが脱いだ皮を譲ってくれ！ 	 Surely you don't need those cast-off skins? Name your price!
我が隊の人手不足は深刻だ… 	 We're spreading ourselves too thin...
餌の消費が激しいな… 	 A marid eats as much in a day as five chocobos do in a sennight.
かゆい所はないか？ 	 These salt fleas will suck the poor girl dry!
メェ～メェ～ 	 Bleeeaaat!
アルパさんとお友達になって、気づいたことがあるのですが…… もしや、隊長になれば、前線に出る必要はなくなるのでは……？ - なんとしても、スウェスリク大牙将を蹴落とさなければ。 	 Working with Alpa, I've realized that if I were serpent marshal, I wouldn't have to take part in any fighting. - All I have to do is become more qualified than Serpent Marshal Brookstone...which is a fair bit easier said than done, I suppose...
貴様がいてくれなければ、 吾輩も、あやうく蛮神の虜となっていたところだ。 感謝するぞ……。 	 One wrong step, and I would've lost my will to that fiend for the rest of my days. 'Tis a sobering thought...
王宮の外にも、かなりの数のテンパードが潜伏していてな。 どうにか排除できたが、駆けつけるのが遅くなった。 ……すまない。 	 We encountered our fair share of enthralled outside the palace. Enough to delay us from lending you a timely hand, I'm afraid...
私がもう少し早く、テンパードと化した闘士を、 見破ることができていれば……。 	 I think I shall make a habit of checking for primal influence before our meetings from now on.
無我夢中で、どうやって生き残ったのか、 いまひとつ覚えていないくらいだよ……。 	 That was unlike any battle I've ever seen. I'm not entirely sure how I survived it, to be honest.
リセは、かつての敵に助力を乞い、 共闘することを選んだ。 それが彼女なりの、理想への一歩ということだろう。 	 Lyse is certainly living up to her own ideal. Not every commander would choose to enlist a former enemy's aid in battle.
ヒュウ！ これだけバラバラな連中が集まる機会は、そうないぜ？ 出発前に、いろいろ話を聞いてみるとするか。 - まずは、草原のアウラ族の……シリナさんと、サドゥさんだろ？ ……そのうしろにいるデカ斧男は、ちょっと近寄りがたいな。 	 Well, well! If I'd known what a social gathering this would turn out to be, I'd have dressed for the occasion! Still, this seems the perfect opportunity to mingle with the other guests. - Would I be correct in assuming those ladies over yonder are Cirina and Sadu of the Steppe? Hmm... Perhaps I should introduce myself, though I don't much like the look of that fellow with the enormous axe.
帝国の連中がどうなろうが、オレの知ったことか。 ジンドウテキシエンなんてものにも、意義を感じられない。 生きられなけりゃ滅びる……それだけだ。 - だが、派遣団のやり方は守ってやるよ。 納得の上で、東方連合に名を連ねたんだからな。 何より、シリナからの頼みだ。 - オレとこいつは、今じゃ悪くない仲なんだぜ？ 最近じゃ、連れ立って狩りにいくこともある。 どこぞのクソ男なんかより、よほど親密ってわけだ。 	 I care not for the ironmen or their troubles. It is the destiny of the weak to die in ignominy. - Even so, I will do as I have agreed. I volunteered to join this band at Cirina's request, and if she thinks it a worthy cause, that is reason enough. - Though we hail from different tribes, our bond has grown strong of late. She is much better company on a hunt than any of the Steppe's oafish men could dream to be.
覇者たるモル族に加え、ドタール族まで主力を供出するならば、 余輩は草原に残り、それを護るのが役目であると考えていた。 - だが、兄弟たちに懇願されたのだ。 余輩の威光を、集いし異邦の者らにも示してほしいと。 それによって、新たな希望も芽吹くやもしれぬと。 - 長兄として、その切なる願いに応じぬわけにはいくまい。 狂犬のごとき女と同行するのは遺憾だが、 十全な活躍を、お前の目にも焼きつけるがいい。 	 With the Mol─champions of the Naadam─and the Dotharl having sent so many here, I had thought to defend the Steppe in their absence. - And I would have done so were it not for my Steppe brothers. They urged me to grant our allies the Sun's might, that his radiance may deliver them unto victory. - Though I must tolerate the presence of this feral Dotharli dog, as first among my brothers, I could do no less than accept this challenge. My deeds will become the stuff of legends.
厳しい戦いだったが、ティソーナが私を支えてくれた。 この剣を貸し与えてくれた義父上に、感謝しているよ。 	 I've trained with countless weapons, but none compare to Tizona. That Father saw fit to honor me in this way still fills my heart with pride...
義父上、悲願の成就まであと一歩ですよ。 	 Father has dreamed of this day for nearly half his life. Just one more step.
チョコボの調子も よさそうだな 	 The mounts are watered and fed?
約束はただひとつ！ 必ず生きて帰ってくることだ！ 	 You have one mission and one mission only─ to make it back here alive!
切れ味は鈍ってないかな… 	 Sharpened this so many times it'll cut you if you even look at the blade!
俺の力、見せてやる！ 	 Sure, spinning th' fork over me head leaves th' belly exposed... But it looks epic!
張りが弱いかな… 	 Naught like the twang of catgut in the morning... or evening, for that matter.
ただ生き残るだけで精一杯…… それが正直なところさ。 	 Livin's hard enough as it is...
ねえ、私たち、この先どうなるのかしら……。 20年以上、帝国の下にいたから、 今さら何をすればいいのかが、わからないのよ……。 	 I do wonder just what will become of us. We have been under imperial rule for over two decades. What are we supposed to do now?
とにかく、今できることをやっておきたいんだ。 ガレキ拾いだろうが、荷物運びだろうが、 俺たちのアラミゴの未来に繋がるんなら、なんでもやるぜ。 	 There is still much work to be done, but I'm prepared to do whatever it takes to get Ala Mhigo back on its feet.
……あんたが誰だろうと、聞かれたくない話もあるんだ。 大人しく去ってくれ。 	 Go and bother someone else.
ヒィィィッ！！ ぼぼぼ、僕は悪いガレアン族じゃないんですうぅぅっ！ 無理矢理に徴兵されてきただけで……！ - 死にたくないから逃げてきたのに、 道が迷路みたいで、迷っちまって……！ 僕だって、早く出たいんだよぉぉ！ 	 I know what you're thinking: a defenseless Garlean rat, just my luck! But please, resist the urge to cut me open and trample my entrails! I did not choose to enlist! - I too want nothing more than to flee from here, but I cannot find my way out─it's like a blasted maze!
実は、やりたいことがあって… 	 I's thinkin' of joining a mummer's troupe.
久々のうまい酒だ！ 	 Liberrraded ale's the bestesest of ales... <hic>
ふぅ～やっと一息つけるぜ 	 All men should be allowed a single vice.
いいぞ！いいぞ！ 	 Yeah! ...I mean, no!
私たちは自由なの？ 	 But are we truly free?
この先へ帝国兵が逃げたような… 	 Saw an imperial run back this way, I did. You going to gut 'im, milady?
長かったわね… 	 This has been a long time coming.
来るなら来いよ！ 	 Wouldn't want me to mess up that pretty face now, would you?
うぇっぷ…飲みすぎた… 	 Whydo I e'en bother drinkin' it if I's juss goina leaveitall 'ere onna street?
作戦はうまくいきました！ まずは皆さん、落ち着いてください！ 	 That went better than expected! But let's not get ahead of ourselves here!
不測の事態に備えよ！ 	 We must prepare for every contingency!
アラミゴ奪還は目前だ！ 	 This is it, lads!
精霊よ…癒しの力を… 	 May the elementals show us favor in our hour of need...
森の弓術で射抜いてみせる！ 	 Matron guide my arrows, that each might strike true...
エオルゼアの結束力 今こそ示す時ぞ！ 	 Can ye hear us, Zenos!? Eorzea is at yer gates!
帝国め！ 	 Imperial whoresons!
俺たちも戦いたいんだ！ 	 We can fight, godsdammit!
今後の予定は… 	 The plan is set...
帝国のやつ 叩きのめしてやるぜ！ 	 Won't be long now.
怖いわ… どうしたらいいの… 	 If the fighting spreads here...
しっかり備えておかないとな 	 We must be ready to move at a moment's notice.
アラミゴ人部隊の実力 見せてくれる！ 	 Heh heh... The Ala Mhigan Brigade is coming for you lot...
ナル神とザル神よ 我に祝福を… 	 O Thal, should I fall this day, may You grant me peace everlasting...
勝利を我らの手に！ 	 Victory will be ours!
岩をも砕く剛力で！ 	 Time to split skulls the Lominsan way!
負けないニャ！ 	 No turning back!
ロッホ・セルの塩で 一旗揚げてやるぜ！ 	 Loch Seld's salt'll be the talk of the realm!
二階は崩れているが 地下室は使えそうだな… 	 The second floor's lost, but the cellar seems solid...
まずは製塩場と 加工場の整備が先決だ！ 	 Right, let's get the equipment cleaned up and in working order!
いい塩が採れそうだ！ 	 They say the best salt's that what's been harvested by hand...er, rake.
腰にくるな… 	 They seem to be doing just fine without my help.
魔物には 目を光らせておくよ！ 	 You see anything, you either kill it or you run─ just not in this direction.
警備は万全です！ 	 I can put an arrow in the eye of a yabby from a hundred paces...give or take ninety-five.
質は大丈夫だろうね ロロリト様は味にうるさいぞ？ 	 If I find you've been cutting Master Lolorito's salt with chalk again...
質ならバッチリですよ！ 	 Never! You have my word!
加工品の販売も 始めたいところだな… 	 There's plenty of salt to sell...but no one to buy it.
許可の無い方の立ち入りは禁止されておりますッ！ 	 No one goes in without the commander's permission.
ここは、「超越技術研究所」。 許可の無い方は立ち入り禁止です。 	 The Resonatorium is a restricted area. I can't let you in without the proper authorization.
工房の設備を 整えなければ… 	 These blocks are not going to move themselves.
資金を有効に使わないとね 	 You've two, don't you?
もっと人手を増やせないか？ 	 I could use another hand.
復興のためーならー えんやこーら！ 	 If it helps Ala Mhigo, I'll rake from dawn till dusk!
ソルトリーの塩こそレストラン 「ビスマルク」に相応しい 	 They say there is none finer than Saltery salt, and the Bismarck must have the finest!
グリダニアの内陸から 貴重な塩を買いだめに来たの 	 Thank Nophica for pack chocobos. I don't fancy carrying a sack of salt all the way back to Gridania...
じゅる…こりゃ美味そうだ 	 Mmm... I don't know which to sample first!
訪問の記念に 何か買ってけよ 	 You can't leave without a souvenir!
…しょっぱいな 	 So, everything is salted...?
ああ… きっとお前の父さんも喜んでるよ 	 Aye, your father'd be proud...
村が賑やかになったね！ 	 It's all so busy now!
ソルトリー名物の塩漬けだよ！ さあ、味見してってくれ！ 	 Salted fish! Salted treats! Go on, have a taste!
クレーンがあれば 仕事が更にはかどるな！ 	 I could while away the hours, Liftin' bags of salt and flour, If I only had a crane.♪
よーし、引き上げるぞー！ 	 Winching her up, then! Stand clear!
塩、入れたぞー！ 	 The buckets are full!
いまのところ、同盟軍からの要請はございません。 戦線は依然として膠着状態が続いております。 	 The imperials have not gained any ground since our last battle, but neither have we. I fear this stalemate can only continue for so long.
ねぇ、少しお話しさせてもらってもいいかな？ 	 Excuse me, but could I have a moment of your time?
以前に訪れたときよりも、食糧事情が悪化しているようだ。 	 Seems to me there's less food to go around than the last time I was here...
話ってなんだい？ 	 Eh? What's this about?
アラガーナでは、昔の石切場の跡を利用して、 こうして横穴式の住居にしているのさ。 こう見えて、何百年モノの古株なんじゃよ。 	 When the quarry stopped providin' for us we decided to build our homes in it instead. I've seen a crack or two appear in my walls lately, but I'd still put money on this house outliving me!
姉がバイロンズブレッドに嫁いだから、 食材を融通してもらえるかもと期待したけど…… 分けるほどの収穫はないみたい。 	 When my sister first went to work at Byron's Bread I had hoped she might be able to share some of their harvest with me. Alas, it does not seem like they produce much in the first place.
俺は、ラガンフリッド村長の金勘定や、 村の話し合いのとりまとめを手伝ってるんだ。 もともと体が頑丈じゃないんでね……。 	 As I'm too weak to do any hard labor, Raganfrid tasked me with managing village affairs. It's not the most enjoyable work, but then there's little enjoyable about Ala Gannha in the first place.
