無名 #1002096 	 Nameless #1002096
アンクタ 	 Ancreta
無名 #1002608 	 Nameless #1002608
無名 #1002618 	 Nameless #1002618
無名 #1002619 	 Nameless #1002619
無名 #1002621 	 Nameless #1002621
無名 #1002622 	 Nameless #1002622
無名 #1002623 	 Nameless #1002623
無名 #1002625 	 Nameless #1002625
ヴェイツアレン 	 Weitzaren
ルートルスィス 	 Loetrswys
ル・ジュマニ 	 R'jumani
エシュシュ 	 Eshushu
ヴェーンジルン 	 Waentzirn
ムーグラム 	 Moegramm
ブルーンルヒト 	 Broenruht
アレンロナ 	 Arenlona
シ・パヤン 	 X'payan
ワホイ・マホイ 	 Wahoy Mahoy
ワフフ 	 Wafufu
無名 #1002705 	 Nameless #1002705
無名 #1002706 	 Nameless #1002706
無名 #1002707 	 Nameless #1002707
無名 #1002708 	 Nameless #1002708
ユルギ・ホンルギ 	 Yulgi Honalgi
無名 #1002710 	 Nameless #1002710
無名 #1002711 	 Nameless #1002711
無名 #1002712 	 Nameless #1002712
無名 #1003271 	 Nameless #1003271
シルスケートシン 	 Sylskaetsyn
イスーダ 	 Isouda
無名 #1003557 	 Nameless #1003557
無名 #1003558 	 Nameless #1003558
無名 #1003559 	 Nameless #1003559
無名 #1003579 	 Nameless #1003579
無名 #1003580 	 Nameless #1003580
無名 #1003581 	 Nameless #1003581
ツィンウィダ 	 Zwynwyda
スティルンロナ甲曹長 	 Styrnlona
赤馬同心 	 Red Uma Doshin
農場の園芸師 	 Stead Botanist
ヤ・シュトラ 	 Y'shtola
紅蓮祭実行委員エシリア 	 Ethelia
紅蓮祭実行委員マヤル・モヤル 	 Mayaru Moyaru
無名 #1010253 	 Nameless #1010253
無名 #1010255 	 Nameless #1010255
無名 #1010301 	 Nameless #1010301
無名 #1011015 	 Nameless #1011015
ブロークン・マウンテン 	 Broken Mountain
