……あんた、本当にまっさらな冒険者？ アマルジャのスパイ、とかじゃないわよね？ 	 Wait! Aren't you...? Ah, never mind. Carry on.
水を汲んで、草を刈って…… ウルダハで弔えない遺体が次々と運ばれてきて、 墓の手入れも追いつきません……。 	 Water to fetch, weeds to pull... A shabby lichyard is a slight to the living and the dead alike.
……安らかに、お眠りください……。 遺産のことは、私にまかせて……。 	 Rest in peace, dear uncle. Technically, a cousin thrice removed, but who's counting? We're too busy dividing up that estate of yours.
お仕事はいっぱいあるけど、なんか辛気臭いわっ！ ……まあ、お墓だから当然よね。 	 Oh, there's work enough from the church but nothing you'd call cheery.
私はこの教会でお手伝いをしているの。 呪術の知識はないから雑用しかできないけれど、 少しでも誰かの悲しみが和らぐといいな……って。 	 Though I am not qualified to assist with the rites, I offer what assistance I can to the priests. Sometimes I wonder if I'm just getting in the way, though...
ウリエンジェから、君が蛮神「タイタン」に挑むと聞き、 次なる蛮神「ガルーダ」の情報を探っていた。 - すぐに砂の家に向かわなかったことが、 よかったのかはわからない……。 ただ、生き残った者には、前へと進む義務があるんだ。 	 Whilst you were catering to the Company of Buffoons' every whim, I was gathering information on our feathered foe. As a result, I was not present when the Garleans came. - I suppose we should be grateful for our good fortune─though it matters little should Garuda grow powerful enough to bring Eorzea to heel.
飛空艇……「エンタープライズ」か……。 何ひとつ思い出せないのに、 なぜ、こんなにも懐かしい気持ちになる……？ 	 The Enterprise... I...I have heard that name before, but where?
霊災のせいで、ここいら一帯クリスタルだらけよ。 採掘師の腕が鳴るぜ！ 	 Thanks to the Calamity─no offense of course─this place is absolutely ringin' with crystals. It's a miner's dream, is what it is!
イリュド神父はお忙しい方だ……。 ……何かあったら、俺に言ってくれ。 	 If...if there is anything I can do...please ask.
コロセウム財団は、腕利きの闘士を常に求めている。 ここハラタリ修練所も、もともとは、 集めた闘士を鍛えるための施設だったのだ。 	 We're always on the lookout for new talent, what with the old talent getting mauled and killed. Proper training at a place such as this, now, that helps.
ヒトは逃さぬ！ 	 The heathen's life is ours, brother.
我らの陣営に近づこうとは！ 	 Aye, another soul for Lord Ifrit.
イシュガルド防衛に 力を貸してくれ！ 	 Lend your blade to Ishgard!
なにか知らないかしら… 	 Might I trouble you for a moment...?
すまんが、尋ねたいことが… 	 I have a few questions, if I may...
