未使用：荒：会話00841 	 未使用：荒：会話00841
僕が目指す未来には、「理想」が必要なんだ。 君も「忘れられたオアシス」について何か意見があったら、 是非、次期族長である僕に教えてくれよ。 	 We must think beyond our ken! If you have ideas, bring them to me, the next nunh of Forgotten Springs─no matter how peculiar they seem.
迷宮を彷徨い続ける「ミノタウロス」のように、 何マルムも、延々と歩かなくちゃ辿り着かない僻地。 だから「ミノタウロスマルム」っていうの。洒落てるでしょ？ 	 Oh, but it does make sense, it really does! If you come by oxcart, it feels like half a malm, and like two malms if you come on foot. So to a minotaur it would be exactly a malm!  Actually, now that I've said it...hm.
ウ族っつーのは、ずいぶん排他的な部族だな。 寝台で休ませてくれっつったら、断られちまったぜ。 	 Unfriendly sort of folk, the U. Asked leave to use one of their empty bunks once and they near threw me out of town. 
ここ、南ザナラーンはアマルジャ族の拠点が多い。 ウ族の族長と会談を重ね、相互扶助を目的とし、 ここに不滅隊の詰所を建設させてもらったのだ。 	 Southern Thanalan is rife with Amalj'aa. After a goodly number of parleys with the nunh of the U, we were able to establish an Immortal Flames outpost here. Now, we work together against the lizardmen.
古代アラグ文明の遺物を採掘してるんだけどね、 採掘機の熱はひどいし、水場は遠いし……。 はぁ、早くここでの任期を終えたいものだよ。 	 The Allagans were a powerful people all right─but I'd venture to guess it was all this heat that did them in. One more year here and I'll be needin' a sarcophagus.
ええっと、1日あたりに掘り返した砂の量と、 サゴリー砂漠から飛んでくる砂の量の差分を求めると……。 ……うう、めまいがしそうだよ。 	 The sand gets in your head, I tell you. Some days I'm not even sure if I'm digging or burying. The Sagolii Desert's like a yellow-eyed harlot─knocks you flat and leaves you high and dry.
一日の狩りを終えた後は、ここで汗をながすの。 砂まみれになっちゃった体のあちこちがね、 すご～くさっぱりするんだっ！ 	 We U are a very cleanly people. Return home sticky with sweat, sand, and blood of the prey? These springs will see it all washed away.
ふい～、暑いぜ、暑過ぎる。 祖国アラミゴは山岳地帯だったからなぁ。 この気候はこたえるぜ……。 	 Rhalgr take this desert heat! Ahhh, I'd give anythin' to be back in the crisp mountains of Ala Mhigo. ...Well, perhaps not my freedom.
おっと……冒険者さん、ご用心です。 ここから南はアマルジャ族の勢力圏、 おまけに魔物がとんでもなく強いですから……。 	 To the south lies Amalj'aa territory, not to mention swarms of fell fiends. If you care for life and limb, north is where you want to go.
お前ッ、アマルジャ族を見なかったかッ！？ あの黒光りした不気味な姿を見ると、 俺は怒りにゾワゾワしちゃうんだよッ！！ 	 Grrr! My belly churns like a raging river at the mere sight of Amalj'aa! Is it not the same for you!?
最近、狩りの成果があがんなくてね……。 獲物が、警戒心まるだしでさ。なにかあったのかな……。 	 The creatures in these parts are terribly skittish of late─hardly good news for a hunter like me. What do you suppose has gotten into them?
ふざけたマネはするなよ 	 Our territory is sacred. Sully this land, and you will have offended us all.
ふざけたマネはするなよ 	 Our territory is sacred. Sully this land, and you will have offended us all.
ふざけたマネはするなよ 	 Our territory is sacred. Sully this land, and you will have offended us all.
ふざけたマネはするなよ 	 Our territory is sacred. Sully this land, and you will have offended us all.
イシュガルド防衛に 力を貸してくれ！ 	 Lend your blade to Ishgard!
