ドミタル 	 Dmitar
フェイジングウェイ 	 Phasingway
ユスタ 	 Justa
無名 #1053083 	 Nameless #1053083
無名 #1053084 	 Nameless #1053084
無名 #1053085 	 Nameless #1053085
無名 #1053091 	 Nameless #1053091
無名 #1053095 	 Nameless #1053095
無名 #1053097 	 Nameless #1053097
無名 #1053099 	 Nameless #1053099
無名 #1053107 	 Nameless #1053107
無名 #1053109 	 Nameless #1053109
無名 #1053112 	 Nameless #1053112
無名 #1053131 	 Nameless #1053131
無名 #1053132 	 Nameless #1053132
無名 #1053134 	 Nameless #1053134
無名 #1053146 	 Nameless #1053146
無名 #1053155 	 Nameless #1053155
無名 #1053158 	 Nameless #1053158
無名 #1053168 	 Nameless #1053168
無名 #1053178 	 Nameless #1053178
無名 #1053179 	 Nameless #1053179
無名 #1053180 	 Nameless #1053180
無名 #1053183 	 Nameless #1053183
無名 #1053184 	 Nameless #1053184
無名 #1053189 	 Nameless #1053189
無名 #1053194 	 Nameless #1053194
無名 #1053240 	 Nameless #1053240
無名 #1053243 	 Nameless #1053243
無名 #1053244 	 Nameless #1053244
無名 #1053262 	 Nameless #1053262
無名 #1053269 	 Nameless #1053269
無名 #1053272 	 Nameless #1053272
無名 #1053275 	 Nameless #1053275
無名 #1053289 	 Nameless #1053289
無名 #1053290 	 Nameless #1053290
無名 #1053297 	 Nameless #1053297
無名 #1053323 	 Nameless #1053323
無名 #1053326 	 Nameless #1053326
探査隊の護衛 	 Expedition Escort
探査隊の戦闘要員 	 Expedition Lancer
探査隊の園芸師 	 Expedition Botanist
ヒューラン族の元徴用兵 	 Former Imperial Conscript
無名 #1033649 	 Nameless #1033649
無名 #1033650 	 Nameless #1033650
無名 #1033651 	 Nameless #1033651
威勢のいい帝国兵 	 Furtive Former Imperial
ガイウス 	 Gaius
アリー 	 Allie
アヴィリナ 	 Avilina
無名 #1036572 	 Nameless #1036572
無名 #1036574 	 Nameless #1036574
無名 #1036576 	 Nameless #1036576
無名 #1036577 	 Nameless #1036577
暫定政府の高官 	 Revolutionary Commander
ヴァルドラン 	 Valdeaulin
ヴァルドラン 	 Valdeaulin
セウェラ 	 Severa
アヴィリナ 	 Avilina
アリー 	 Allie
ガイウス 	 Gaius
無名 #1045319 	 Nameless #1045319
暫定政府の高官 	 Revolutionary Commander
唸っている妖異 	 Feral Voidsent
様子を窺っている妖異 	 Watchful Voidsent
陶然としている妖異 	 Forlorn Voidsent
怯える妖異 	 Fearful Voidsent
トロイア城の獄吏 	 Troian Gaoler
トロイア城の清掃係 	 Troian Manservant
トロイア城の番犬 	 Troian Guard Dog
トロイア城の守衛 	 Troian Doorkeeper
トロイア城の騎士 	 Troian Knight
美しい娘 	 Fair Maiden
ヤ・ナズカ 	 Y'nazqha
スノーゲイム 	 Snoegeim
スノーゲイム 	 Snoegeim
レジスタンスの情報将校 	 Resistance Historian
ドミタル 	 Dmitar
レジスタンスの整備兵 	 Resistance Supplier
レジスタンスの情報将校 	 Resistance Historian
無名 #1036926 	 Nameless #1036926
無名 #1036939 	 Nameless #1036939
無名 #1036940 	 Nameless #1036940
無名 #1036945 	 Nameless #1036945
無名 #1036948 	 Nameless #1036948
無名 #1036949 	 Nameless #1036949
無名 #1036951 	 Nameless #1036951
逃げてきた妖異 	 Deserter Voidsent
