ねぇ、少しお話しさせてもらってもいいかな？ 	 Excuse me, but could I have a moment of your time?
はあ～大した仕事でもないのに、 まともに食ってないせいか、すぐに疲れるな……。 	 I've not even done much today and I'm already knackered. Some days this village just saps the life out of me.
これもダメか… 	 A bucketful of naught, this here is.
そろそろ、坂の登り降りがきつくなったと話していたんだ。 昔は、石を運びながらでも、楽々だったというのにの。 	 Ah, the old joints aren't what they used to be. I can hardly believe I used to go up and down these slopes with ponzes of stone in hand.
あいつ… どこいった？ 	 Now where in the seven hells did he go?
やる気が出ないな 	 I suppose I could go back to work... I also suppose I could slay young Zenos in a duel.
ククク……。 新しい金儲けの方法を思いついた……。 	 Aye, this one can't fail! I can feel my purse growing heavier already...
壊れた魔導兵器を集めようぜ。 いろいろ役立ちそうだ。 	 There are broken warmachina all over the place if you know where to look. Someone should probably salvage them...
アラギリはもともと宿場街だったから、酒場や宿屋が多いのよ。 帝国占領下でも、帝国兵相手の歓楽街として生き残ってきたわ。 私の店のサービス……気になる？ 	 You'll find there are quite a number of taverns and inns here in Ala Ghiri. After all, this was originally a trading hub. The Garleans saw little need for trade, however, and used our village only for drink and debauchery. Good riddance, I say.
このアラック、うめえ！ 	 Pass me that arak, friend! My bottle is mysteriously empty. Hah hah hah!
喜んでいいのかしら… 	 Wait... But that would mean─
ここでの監視は、過酷だけど…… 誰かがやらなきゃいけないからな。 	 It's not easy keeping watch out here with only Guntmar to keep me company. But if we don't do it, I'm afraid no one else will.
あいつら 星導教…なのか？ 	 Can they really be the Fist of Rhalgr?
あの技…まさか！ 	 That technique... It couldn't be!
まだまだ気は抜けんな 	 Iffin I find either o' yous dockin' the dells o' any o' these here maids, I'll cut ye neck to crotch.
槍に異常なしっと 	 A fine spear, she is. I cannot rightly say I've e'er seen finer.
あれが流星の天蓋… 	 Biggest crystal east of the Velodyna, you say? I've seen bigger.
心機一転、アラミゴ解放軍で頑張るつもりさ！ 	 I'll continue to serve as a proud member of the Resistance! Though, now that I say it...if there's nothing left to resist, does it make any sense to go on calling ourselves the Resistance?
